,CD4.prot,CD8A.prot
472260,1022,47
508839,54,161
295165,3762,18
432110,4043,77
43466,609,155
836003,57,109
396445,3,2
473529,29,3015
704331,27,241
191587,1460,24
242973,2683,49
372756,1770,47
761492,1519,84
873474,665,1858
118545,29,75
239908,3784,62
240619,20,58
486658,29,6737
606778,58,51
828192,890,97
120615,64,14
311528,2559,30
572194,1808,43
598365,35,97
760233,562,356
766692,3509,53
131181,1950,522
576821,2277,71
484535,1742,49
656819,166,14
768781,3117,78
215429,2449,42
489071,1833,31
88148,4225,61
808795,2707,65
809978,15,57
333079,3186,25
741683,20,81
796164,3056,22
24339,1680,44
686365,66,192
777891,2022,94
815783,1947,72
876014,2957,10
136300,14,98
752712,2131,62
777085,1726,99
751514,59,2264
147354,5934,74
596606,1345,17
866066,2746,52
263156,661,48
361536,835,48
597512,2306,95
797952,1683,37
231257,12,3821
787201,1986,58
432030,2782,80
436643,1992,59
90506,1061,994
262609,22,5383
401371,3171,64
130031,3720,91
594362,250,1704
675979,2153,35
723727,3438,201
495314,417,17
651976,1032,9
836331,909,85
853675,1303,119
242388,3386,48
383198,1603,75
669143,1084,228
803735,1532,31
36093,26,182
357038,255,184
640020,23,30
807553,2323,141
414773,3672,34
875081,564,52
57284,2684,34
789460,1322,50
225564,57,6112
216183,2724,33
758684,746,27
875951,2458,53
111028,2072,59
319959,2740,22
876329,25,45
519298,3626,68
698534,789,133
771139,31,4290
872581,1609,85
383919,3799,90
794056,2615,109
828658,1135,143
861065,21,56
525683,5569,340
112898,4615,48
65405,1604,185
287157,2258,31
235160,58,22
419127,517,108
845367,2765,60
421563,935,31
559597,3836,53
873750,3399,88
850297,2755,40
857884,2746,63
873623,1423,56
309130,3566,69
820400,2514,72
194780,63,92
229771,236,61
797904,2598,35
28631,2966,54
667867,2288,45
797128,258,4
244017,9,27
592201,983,150
638897,299,10
729104,950,108
606508,690,54
820386,1964,119
527515,13,1562
582908,388,38
814618,48,92
336392,3029,38
513669,2673,971
4000,660,194
407233,1374,141
772139,514,67
547977,38,4352
840007,2102,79
432009,26,153
638030,2351,36
26746,492,33
345336,2126,35
687470,107,216
711297,3523,61
243267,592,164
878168,3955,47
33298,76,664
825474,45,62
649719,267,4
776980,1067,104
91882,3488,32
537194,307,118
711926,2113,19
745760,2869,60
605618,3682,29
827729,2476,74
138455,15,58
557805,52,227
760161,2353,77
815741,1571,26
183313,289,91
673664,2613,145
294933,1822,66
483790,828,305
387534,2822,123
490352,3193,56
46761,3052,80
302257,989,272
742522,1036,176
770087,14,2256
804561,776,48
197512,831,247
697040,1270,201
131441,1599,229
554323,1565,78
669833,3269,59
35348,12,489
156390,3326,44
854046,1574,55
287764,78,12
545365,106,2079
764535,372,19
876242,15,332
705184,1634,80
777381,922,25
356116,23,988
41513,1824,125
664753,2167,24
613926,3743,91
789693,2098,122
264712,312,65
294787,3501,50
273261,2831,51
436032,939,19
294322,1557,104
822478,1812,28
301569,121,28
582009,1074,25
194166,1445,39
354092,539,43
31895,950,104
163565,838,187
557338,17,1079
114863,0,0
838226,524,194
337300,0,0
596658,0,0
122820,2345,59
649040,1,0
608207,49,29
703067,2111,60
281355,780,61
794323,3408,54
835369,4669,435
695925,964,83
875293,2577,60
334346,1640,60
838849,516,97
687325,10,56
744184,2505,107
636492,24,32
373341,3110,41
487739,3238,43
782038,1280,23
815798,1505,119
241509,2155,42
764052,1966,71
795976,119,2
213973,805,6
207329,198,36
544702,59,43
767878,57,732
877322,185,62
126842,0,0
834941,1263,30
853657,1,0
476868,433,23
478687,3399,26
673439,2214,29
419532,1839,71
88708,82,5279
550589,769,6
792825,788,16
841464,274,93
695963,2982,56
790437,1315,122
882644,390,2
745742,2761,138
235934,147,88
412164,9,17
504511,5,61
241984,1757,35
414035,2438,37
182870,1877,45
505791,3739,71
644653,22,736
731218,1668,112
743721,2990,388
246883,458,133
620349,1157,426
175356,896,93
336969,21,26
