Cell_Index,Cell_Type_Experimental
624932,T_CD4_memory
228343,T_CD8_memory
712078,T_CD4_memory
805229,T_CD4_memory
1168,T_CD4_memory
382219,T_CD4_memory
235654,T_CD4_memory
715416,T_CD8_memory
191573,B
773467,T_CD4_memory
692627,T_gamma_delta
377894,T_CD4_memory
652023,T_CD4_naive
169691,T_CD4_memory
190241,T_CD4_memory
30136,T_CD4_naive
542746,T_CD4_memory
3153,B
43456,T_CD4_memory
151191,T_CD4_memory
421062,T_CD8_naive
433203,T_CD4_memory
448072,T_CD4_memory
750433,T_CD4_memory
785807,T_CD4_memory
280416,T_CD4_memory
543115,T_CD4_memory
40513,T_CD4_memory
205200,Natural_killer
342483,T_CD4_memory
113429,T_CD4_memory
550410,T_CD4_memory
367158,T_CD4_memory
21643,Natural_killer
59466,T_CD4_memory
308054,T_CD4_memory
576739,T_CD4_naive
297576,T_CD4_memory
103553,T_CD4_memory
672308,T_CD4_naive
102334,T_CD4_memory
62117,T_CD4_memory
62652,T_CD4_memory
647368,T_CD4_memory
847287,T_CD4_memory
701958,T_CD8_memory
130729,T_CD4_memory
868037,T_CD4_naive
41052,T_CD4_memory
134070,T_CD8_memory
618666,T_CD4_naive
321663,T_CD8_memory
843640,T_CD4_memory
858366,T_CD4_memory
66129,T_CD4_memory
165504,T_CD4_memory
572271,T_CD4_memory
90783,Natural_killer
490706,T_CD8_memory
865937,T_CD4_memory
229058,T_CD4_memory
6873,T_gamma_delta
237787,T_CD4_memory
130477,T_CD4_memory
727941,T_CD4_memory
98154,T_CD4_memory
139615,T_CD4_memory
847045,T_CD4_memory
462971,T_CD4_memory
133142,Monocyte_nonclassical
362927,T_CD4_memory
504749,T_CD4_memory
831723,B
283420,T_CD4_memory
539808,T_CD4_naive
635906,T_CD4_memory
767470,T_CD4_memory
552299,T_CD4_naive
771215,T_CD4_memory
755327,T_CD4_memory
283016,T_CD4_memory
754965,T_CD4_memory
630274,T_CD4_memory
650973,T_CD4_memory
169940,T_CD4_memory
598399,T_CD4_memory
522147,T_CD4_memory
305474,B
877838,T_CD4_memory
111492,T_CD4_naive
847435,T_CD4_memory
315806,T_CD4_memory
843975,T_CD4_memory
405500,T_CD4_naive
741382,T_CD4_memory
518524,Natural_killer
47302,T_CD4_memory
147978,T_CD4_memory
331255,T_CD4_memory
230066,T_CD4_naive
466567,T_CD4_memory
743586,Natural_killer
819262,T_CD4_memory
589837,B
797780,T_CD8_memory
211158,T_CD4_memory
688694,T_CD4_memory
150609,B
552980,T_CD4_memory
123543,Natural_killer
158582,T_CD4_memory
99444,T_CD4_naive
35687,B
744165,T_CD8_memory
212285,T_CD4_memory
848770,T_CD4_memory
591568,T_CD4_memory
7552,T_CD4_memory
645656,Natural_killer
297451,T_CD4_memory
564117,T_CD4_memory
842401,T_CD4_naive
299170,B
463241,T_CD4_memory
73479,T_CD4_memory
211245,T_CD4_memory
486027,Natural_killer
764218,T_CD4_memory
96945,T_CD4_memory
189430,B
335895,T_CD4_memory
463578,T_CD4_naive
722156,T_CD4_memory
1715,T_CD4_memory
645934,T_CD4_memory
27333,T_CD8_naive
166957,T_CD8_memory
481308,T_CD4_memory
837343,T_CD4_memory
266454,T_CD4_memory
274232,T_CD8_memory
658724,T_CD4_memory
318294,T_CD4_memory
515670,T_CD4_memory
35445,T_CD4_memory
105357,T_CD4_memory
331151,T_CD4_memory
110563,T_CD4_memory
235195,T_CD4_memory
221022,T_CD4_memory
511791,T_CD4_memory
320873,T_CD4_memory
329575,T_CD4_memory
327663,T_CD4_memory
133483,T_CD4_memory
602314,T_CD8_memory
218197,T_CD4_memory
277077,T_CD4_memory
740475,T_CD4_naive
224978,T_CD4_memory
243495,B
353093,T_CD4_memory
338642,T_CD4_memory
253438,T_CD8_naive
264059,T_CD8_memory
145537,T_CD4_naive
561462,T_CD8_naive
213797,T_CD4_memory
643782,T_CD4_memory
726046,T_CD4_memory
449519,T_CD8_memory
345374,T_CD4_memory
457993,T_CD4_memory
773507,T_CD4_memory
248876,T_CD4_memory
648985,T_CD4_memory
186096,T_CD4_memory
646246,Natural_killer
815471,T_CD4_memory
266984,T_CD4_memory
382950,T_CD4_memory
460858,T_CD4_memory
55027,T_CD4_memory
176639,T_gamma_delta
658340,T_CD4_memory
485330,T_CD4_memory
186653,T_CD4_memory
67104,T_CD4_memory
345578,T_CD4_memory
98632,T_CD4_memory
489694,T_CD4_memory
108402,T_CD4_memory
402140,T_CD4_memory
313796,T_CD4_memory
422394,T_CD4_memory
97900,T_CD4_memory
759360,T_CD8_memory
278814,T_CD4_memory
652775,T_CD4_memory
170446,T_CD4_memory
529694,T_CD4_memory
766249,Natural_killer
778491,Natural_killer
162262,T_CD4_memory
786751,T_CD4_memory
23515,T_CD4_memory
325141,T_CD8_naive
740694,T_CD8_memory
158957,T_CD8_memory
136692,T_CD4_memory
650465,T_CD4_memory
696784,T_CD8_memory
34927,T_gamma_delta
858615,T_CD4_memory
138888,T_CD4_memory
511237,T_CD8_memory
48165,T_CD4_memory
319873,T_CD4_memory
352071,T_CD4_memory
421279,T_CD4_memory
226502,T_CD4_memory
321587,T_CD4_naive
319744,T_gamma_delta
705602,T_CD4_naive
844453,T_CD8_memory
701298,T_CD8_naive
158513,T_CD4_memory
188382,T_CD4_memory
662297,T_CD8_memory
177958,T_CD4_memory
629754,T_CD4_memory
217240,T_CD4_memory
14902,T_CD4_memory
813464,T_CD4_naive
422850,T_CD4_memory
841500,T_CD4_memory
250001,T_CD4_naive
408260,T_CD4_memory
748689,T_CD4_memory
84856,T_CD8_memory
181071,T_CD4_memory
854027,T_CD8_memory
323613,Natural_killer
738469,T_CD4_memory
236526,T_CD8_memory
776462,T_CD4_memory
25244,T_CD8_memory
296083,T_CD4_memory
458720,B
859127,T_CD4_memory
821558,T_gamma_delta
98246,T_CD4_memory
465754,T_CD4_memory
499031,T_CD4_memory
28777,Natural_killer
352430,Natural_killer
550629,T_CD4_memory
798245,T_CD4_naive
256710,T_CD4_memory
536698,T_CD4_memory
404013,T_CD4_memory
491695,T_CD4_memory
631645,T_CD4_memory
126789,T_CD4_memory
818943,T_CD4_memory
195425,T_CD4_memory
494848,Natural_killer
836170,T_CD4_memory
65360,T_CD4_memory
432672,B
381554,T_CD4_memory
382782,T_CD4_memory
861260,T_CD4_memory
397211,T_CD4_memory
827056,T_CD4_memory
82214,T_CD4_memory
137218,Natural_killer
309011,T_CD4_memory
402690,T_CD4_memory
17019,T_CD4_memory
680060,T_CD4_memory
694596,T_CD4_memory
38155,T_CD4_naive
380281,T_CD8_memory
794567,T_CD4_memory
688465,T_CD4_memory
875040,Natural_killer
143172,T_CD4_memory
518902,T_CD4_memory
601185,T_CD4_memory
625099,T_CD4_memory
400149,T_CD4_memory
199252,T_CD4_memory
297084,Natural_killer
290761,T_gamma_delta
288068,T_CD4_memory
773045,T_CD4_memory
97198,T_CD4_memory
188900,T_CD4_memory
134248,B
302942,T_CD4_memory
840196,T_CD4_memory
538984,T_CD8_memory
861337,T_CD8_memory
393162,T_CD8_memory
624996,T_CD8_memory
725175,T_CD4_memory
247285,T_CD4_memory
527116,T_CD4_memory
659128,T_CD4_memory
696788,T_CD8_memory
526946,T_CD8_memory
810491,T_CD8_memory
736396,T_CD4_memory
358167,T_CD4_memory
385063,B
71324,T_CD4_naive
626947,T_CD8_memory
229152,T_CD4_memory
633930,T_CD4_memory
715706,T_CD4_memory
579585,T_CD4_memory
751730,T_CD4_memory
796310,T_CD4_memory
38108,T_CD4_memory
604415,T_CD8_memory
624339,T_CD4_naive
849796,T_CD4_memory
40555,T_CD8_memory
647843,T_CD4_memory
787057,T_CD4_memory
308369,T_CD4_memory
577178,T_CD4_memory
327293,T_CD4_memory
820253,T_CD4_memory
148673,T_CD4_memory
577550,T_CD4_memory
579051,T_CD4_memory
662093,T_CD4_memory
267508,T_CD4_memory
101957,T_CD4_memory
593696,T_CD4_memory
214038,T_CD4_memory
534782,T_CD4_memory
737915,T_CD4_memory
747480,Natural_killer
124411,T_CD4_memory
251699,T_CD4_naive
292371,T_CD4_memory
319212,T_CD4_naive
334097,T_CD4_memory
510797,T_CD4_memory
613853,Natural_killer
710256,T_CD4_memory
101866,T_CD4_naive
647027,T_CD4_memory
123508,T_CD4_memory
842271,T_CD4_memory
760093,T_CD8_memory
288782,T_CD4_memory
271153,Natural_killer
204400,T_CD4_memory
481222,T_CD4_memory
22588,T_CD4_memory
404127,B
817946,T_CD4_memory
722502,T_CD4_memory
872587,T_CD4_memory
411180,T_CD4_memory
673334,T_CD4_memory
33168,T_CD4_memory
313582,T_CD4_naive
407532,T_CD8_memory
782248,T_CD4_memory
677603,T_CD4_naive
132334,T_CD4_memory
800721,T_CD8_memory
865064,T_CD4_memory
556299,T_CD4_memory
856862,T_CD4_naive
138165,T_CD4_memory
524306,T_CD8_memory
747837,T_CD4_memory
768240,T_CD4_naive
644022,T_CD4_memory
730408,T_CD4_naive
145867,T_CD4_memory
600866,T_CD4_memory
54865,T_CD4_memory
226879,T_CD4_naive
426783,T_CD4_memory
216907,T_CD4_memory
177021,T_CD4_memory
449618,T_CD4_memory
799608,T_CD4_memory
24445,T_CD4_memory
305518,T_CD4_naive
807469,T_CD4_memory
488005,T_CD4_naive
868581,T_gamma_delta
200638,T_CD4_naive
771924,T_CD4_naive
702792,T_CD8_memory
713856,T_CD8_naive
138925,B
220433,T_CD4_naive
240625,T_gamma_delta
268805,T_CD4_memory
506896,T_CD4_memory
878125,T_CD4_naive
209633,T_CD8_memory
261397,T_CD4_memory
701043,T_CD4_memory
184824,B
696909,T_CD4_memory
752552,T_CD4_memory
265708,T_CD4_memory
837004,T_CD4_memory
118363,Natural_killer
644943,T_CD4_memory
204326,T_CD4_memory
416955,T_CD8_memory
441032,T_CD4_memory
25924,T_CD4_memory
387750,B
763911,T_CD4_memory
188698,Natural_killer
368918,T_CD4_naive
454964,T_gamma_delta
206210,T_gamma_delta
524801,B
736476,T_CD4_memory
742701,T_CD4_memory
784055,Natural_killer
33907,T_CD4_memory
206953,T_CD4_memory
725370,T_CD4_memory
235081,T_CD4_memory
756617,T_CD4_naive
840619,T_CD4_memory
606145,T_CD4_memory
727058,T_CD4_memory
464485,T_gamma_delta
545981,T_CD4_naive
206612,T_CD4_naive
213516,T_CD8_memory
755556,T_CD4_naive
869765,T_CD4_memory
870194,T_CD4_memory
245915,T_CD4_memory
297950,T_CD4_memory
703036,T_CD4_memory
168612,T_CD4_memory
803968,T_CD4_memory
193326,T_CD4_memory
754853,T_CD4_naive
863222,T_CD4_naive
21896,T_CD4_memory
822657,T_CD4_memory
191443,T_CD4_naive
412429,T_CD4_memory
206690,T_CD4_naive
689487,T_CD4_memory
668272,T_CD4_memory
811474,T_CD4_naive
605117,T_CD4_memory
760958,T_CD4_memory
115480,T_CD4_naive
193086,T_CD4_memory
737067,T_CD4_memory
774993,T_CD8_memory
110724,T_CD4_memory
683481,T_CD4_memory
474042,T_CD8_memory
592050,T_CD4_memory
876472,T_CD4_memory
13747,T_CD4_memory
441478,T_CD4_memory
570562,B
214282,T_CD4_memory
724260,T_CD4_naive
80804,T_CD8_memory
263361,T_CD4_memory
86331,T_CD8_memory
379691,Natural_killer
706269,T_CD4_memory
157271,T_CD4_memory
275642,T_gamma_delta
297776,T_CD4_memory
595395,T_CD4_memory
374379,Natural_killer
