,CD4.prot,CD8A.prot
843640,0.9587296,0.19918668
858366,1.0553209,0.15227826
66129,1.0838697,0.14048356
165504,1.0496849,0.15564393
572271,1.0704222,0.14429931
90783,0.890503,0.23856975
490706,1.0217787,0.16566382
865937,1.2388864,0.084348775
229058,0.7293835,0.34853303
6873,0.4552781,0.59083915
237787,0.615093,0.44224432
130477,1.2488168,0.08034504
727941,0.74121,0.3401702
98154,1.0705196,0.14658788
139615,1.1354104,0.11956499
847045,1.0161732,0.17039178
462971,1.1085753,0.1297573
133142,0.6994219,0.3698889
362927,0.990852,0.18256786
504749,1.1712811,0.10611084
831723,0.87801874,0.24667858
283420,1.3199706,0.058861252
539808,1.110187,0.12867974
635906,1.2857156,0.07070931
767470,1.1226006,0.12385807
552299,1.10866,0.12965585
771215,1.0913869,0.13661695
755327,1.1829329,0.102110356
283016,0.6633379,0.3990395
754965,1.2283938,0.083501495
630274,1.2786839,0.07189937
650973,1.0687635,0.14718628
169940,1.121474,0.12442481
598399,1.1725249,0.10325767
522147,1.0847995,0.13893762
305474,0.46833664,0.56499326
877838,1.1843148,0.101407774
111492,1.1682339,0.10707322
847435,1.0593524,0.15087324
315806,0.9441273,0.20870894
843975,1.2034318,0.09555303
405500,1.0718752,0.14544052
741382,1.1665553,0.10726512
518524,1.2092608,0.09370171
47302,1.0670837,0.14438544
147978,1.1626006,0.10876831
331255,1.0604215,0.15090473
230066,1.090726,0.13753268
466567,1.0928423,0.13605687
743586,0.9973067,0.18113813
819262,1.197581,0.09732556
589837,0.35801,0.7093547
797780,0.068060875,1.2983288
211158,1.0763153,0.14313488
688694,0.9974004,0.18003806
150609,0.36253592,0.6989471
552980,1.0207545,0.16882892
123543,0.79829246,0.2984908
158582,1.1494718,0.11449451
99444,1.080682,0.14206314
35687,0.41057426,0.58849573
744165,1.0194443,0.16792208
212285,1.1864593,0.10093366
848770,1.259562,0.077901855
591568,0.8485481,0.26520693
7552,1.1258035,0.12276721
645656,0.87715673,0.2463254
297451,1.1123579,0.12713581
564117,1.1609182,0.1102499
842401,1.2914064,0.0680371
299170,0.5503838,0.49294353
463241,0.59536326,0.4508671
73479,0.47512782,0.5619922
211245,1.2775888,0.07242937
486027,0.12529853,1.1106267
764218,1.1148105,0.12739587
96945,1.1761256,0.10460811
189430,0.4802799,0.5696588
335895,1.1196522,0.12337637
463578,0.80839515,0.2914979
722156,1.1445054,0.11611294
1715,0.8865545,0.23881876
645934,1.1796558,0.102658994
27333,0.60039526,0.4554711
166957,1.0261918,0.1666344
481308,1.0643337,0.14838994
837343,1.101984,0.13183089
266454,0.78485847,0.3044577
